,nodes count,HW Availability class,HW Availability,SW Availability class,failure function,Overall availability
5174,116,6,3.9355669824622574,6,n_log_n,3.9337573512684005
5175,117,4,1.934330695031638,4,identity,1.6358340171043757
5176,117,4,1.934330695031638,4,n,1.930656041362116
5177,117,4,1.934330695031638,4,square_root_n,1.8961618689469697
5178,117,4,1.934330695031638,4,n_squared,1.9342991540558994
5179,117,4,1.934330695031638,4,n_log_n,1.932550013975001
5180,117,4,1.934330695031638,5,identity,1.8931933299014672
5181,117,4,1.934330695031638,5,n,1.9339618438147688
5182,117,4,1.934330695031638,5,square_root_n,1.9303576903656015
5183,117,4,1.934330695031638,5,n_squared,1.934327541114113
5184,117,4,1.934330695031638,5,n_log_n,1.9341523101560736
5185,117,4,1.934330695031638,6,identity,1.9300348905475613
5186,117,4,1.934330695031638,6,n,1.9342937959743725
5187,117,4,1.934330695031638,6,square_root_n,1.9339317390236557
5188,117,4,1.934330695031638,6,n_squared,1.9343303796420066
5189,117,4,1.934330695031638,6,n_log_n,1.934312853367792
5190,117,5,2.932066005545267,4,identity,1.8931933299019046
5191,117,5,2.932066005545267,4,n,2.8964666244523203
5192,117,5,2.932066005545267,4,square_root_n,2.6479639956891665
5193,117,5,2.932066005545267,4,n_squared,2.931749018820316
5194,117,5,2.932066005545267,4,n_log_n,2.9144881101820093
5195,117,5,2.932066005545267,5,identity,2.6312899991095726
5196,117,5,2.932066005545267,5,n,2.928372012813128
5197,117,5,2.932066005545267,5,square_root_n,2.8936877402532875
5198,117,5,2.932066005545267,5,n_squared,2.9320342993055575
5199,117,5,2.932066005545267,5,n_log_n,2.93027597440925
5200,117,5,2.932066005545267,6,identity,2.890698899090034
5201,117,5,2.932066005545267,6,n,2.9316951908108733
5202,117,5,2.932066005545267,6,square_root_n,2.9280717620789223
5203,117,5,2.932066005545267,6,n_squared,2.9320628348488063
5204,117,5,2.932066005545267,6,n_log_n,2.9318866712765574
5205,117,6,3.9318393270861325,4,identity,1.9300348905480376
5206,117,6,3.9318393270861325,4,n,3.6635673417848746
5207,117,6,3.9318393270861325,4,square_root_n,2.921524918237044
5208,117,6,3.9318393270861325,4,n_squared,3.9286781511498408
5209,117,6,3.9318393270861325,4,n_log_n,3.7816147978559345
5210,117,6,3.9318393270861325,5,identity,2.890698899090034
5211,117,6,3.9318393270861325,5,n,3.8962233159588164
5212,117,6,3.9318393270861325,5,square_root_n,3.6475429399226784
5213,117,6,3.9318393270861325,5,n_squared,3.9315222004979584
5214,117,6,3.9318393270861325,5,n_log_n,3.9142534538972154
5215,117,6,3.9318393270861325,6,identity,3.630834736918951
5216,117,6,3.9318393270861325,6,n,3.9281433968613766
5217,117,6,3.9318393270861325,6,square_root_n,3.89344007717753
5218,117,6,3.9318393270861325,6,n_squared,3.931807604321613
5219,117,6,3.9318393270861325,6,n_log_n,3.9300483591906876
